ID,Modulo,"Requerimiento funcional","Escenario de prueba",Precondiciones,"Pasos ejecutados","Resultado esperado","Resultado obtenido",Estatus
F-034,Proveedores,"SIROC CRUD",Index/create/show/edit/delete,"Ambiente de QA disponible; usuario con acceso al modulo Proveedores; flujo SIROC CRUD habilitado; nivel de prueba UI + Feature HTTP disponible.","Ingresar al modulo Proveedores -> Abrir el flujo SIROC CRUD -> Ejecutar el escenario index/create/show/edit/delete -> Validar respuesta del sistema y evidencia generada","El registro se crea correctamente, respetando validaciones y reglas de negocio.","Pendiente de ejecucion.",
F-034,Proveedores,"SIROC CRUD","Adjuntos si aplican","Ambiente de QA disponible; usuario con acceso al modulo Proveedores; flujo SIROC CRUD habilitado; nivel de prueba UI + Feature HTTP disponible.","Ingresar al modulo Proveedores -> Abrir el flujo SIROC CRUD -> Ejecutar el escenario adjuntos si aplican -> Validar respuesta del sistema y evidencia generada","El sistema cumple correctamente con el escenario evaluado: adjuntos si aplican.","Pendiente de ejecucion.",
F-034,Proveedores,"SIROC CRUD","Proveedor correcto","Ambiente de QA disponible; usuario con acceso al modulo Proveedores; flujo SIROC CRUD habilitado; nivel de prueba UI + Feature HTTP disponible.","Ingresar al modulo Proveedores -> Abrir el flujo SIROC CRUD -> Ejecutar el escenario proveedor correcto -> Validar respuesta del sistema y evidencia generada","El sistema cumple correctamente con el escenario evaluado: proveedor correcto.","Pendiente de ejecucion.",
F-034,Proveedores,"SIROC CRUD","Permisos admin","Ambiente de QA disponible; usuario con acceso al modulo Proveedores; flujo SIROC CRUD habilitado; nivel de prueba UI + Feature HTTP disponible.","Ingresar al modulo Proveedores -> Abrir el flujo SIROC CRUD -> Ejecutar el escenario permisos admin -> Validar respuesta del sistema y evidencia generada","El sistema cumple correctamente con el escenario evaluado: permisos admin.","Pendiente de ejecucion.",
F-035,Proveedores,"Administracion de usuario proveedor",Listado,"Ambiente de QA disponible; usuario con acceso al modulo Proveedores; flujo Administracion de usuario proveedor habilitado; nivel de prueba UI + Feature HTTP disponible; datos semilla cargados.","Ingresar al modulo Proveedores -> Abrir el flujo Administracion de usuario proveedor -> Ejecutar el escenario listado -> Validar respuesta del sistema y evidencia generada","La informacion se muestra correctamente en pantalla, sin errores y con datos consistentes.","Pendiente de ejecucion.",
F-035,Proveedores,"Administracion de usuario proveedor",Editar,"Ambiente de QA disponible; usuario con acceso al modulo Proveedores; flujo Administracion de usuario proveedor habilitado; nivel de prueba UI + Feature HTTP disponible.","Ingresar al modulo Proveedores -> Abrir el flujo Administracion de usuario proveedor -> Ejecutar el escenario editar -> Validar respuesta del sistema y evidencia generada","El sistema cumple correctamente con el escenario evaluado: editar.","Pendiente de ejecucion.",
F-035,Proveedores,"Administracion de usuario proveedor",Activar/desactivar,"Ambiente de QA disponible; usuario con acceso al modulo Proveedores; flujo Administracion de usuario proveedor habilitado; nivel de prueba UI + Feature HTTP disponible.","Ingresar al modulo Proveedores -> Abrir el flujo Administracion de usuario proveedor -> Ejecutar el escenario activar/desactivar -> Validar respuesta del sistema y evidencia generada","El sistema cumple correctamente con el escenario evaluado: activar/desactivar.","Pendiente de ejecucion.",
F-035,Proveedores,"Administracion de usuario proveedor",Borrar,"Ambiente de QA disponible; usuario con acceso al modulo Proveedores; flujo Administracion de usuario proveedor habilitado; nivel de prueba UI + Feature HTTP disponible.","Ingresar al modulo Proveedores -> Abrir el flujo Administracion de usuario proveedor -> Ejecutar el escenario borrar -> Validar respuesta del sistema y evidencia generada","El sistema cumple correctamente con el escenario evaluado: borrar.","Pendiente de ejecucion.",
F-035,Proveedores,"Administracion de usuario proveedor","Sincronizacion con entidad Supplier","Ambiente de QA disponible; usuario con acceso al modulo Proveedores; flujo Administracion de usuario proveedor habilitado; nivel de prueba UI + Feature HTTP disponible.","Ingresar al modulo Proveedores -> Abrir el flujo Administracion de usuario proveedor -> Ejecutar el escenario sincronizacion con entidad Supplier -> Validar respuesta del sistema y evidencia generada","El sistema cumple correctamente con el escenario evaluado: sincronizacion con entidad Supplier.","Pendiente de ejecucion.",
F-036,Proveedores,"Busqueda de suppliers","Busqueda por nombre/RFC","Ambiente de QA disponible; usuario con acceso al modulo Proveedores; flujo Busqueda de suppliers habilitado; nivel de prueba API interna disponible.","Ingresar al modulo Proveedores -> Abrir el flujo Busqueda de suppliers -> Ejecutar el escenario busqueda por nombre/RFC -> Validar respuesta del sistema y evidencia generada","El sistema cumple correctamente con el escenario evaluado: busqueda por nombre/RFC.","Pendiente de ejecucion.",
F-036,Proveedores,"Busqueda de suppliers","Filtrado por activos/aprobados si aplica","Ambiente de QA disponible; usuario con acceso al modulo Proveedores; flujo Busqueda de suppliers habilitado; nivel de prueba API interna disponible.","Ingresar al modulo Proveedores -> Abrir el flujo Busqueda de suppliers -> Ejecutar el escenario filtrado por activos/aprobados si aplica -> Validar respuesta del sistema y evidencia generada","El sistema cumple correctamente con el escenario evaluado: filtrado por activos/aprobados si aplica.","Pendiente de ejecucion.",
F-036,Proveedores,"Busqueda de suppliers","Respuesta vacia","Ambiente de QA disponible; usuario con acceso al modulo Proveedores; flujo Busqueda de suppliers habilitado; nivel de prueba API interna disponible.","Ingresar al modulo Proveedores -> Abrir el flujo Busqueda de suppliers -> Ejecutar el escenario respuesta vacia -> Validar respuesta del sistema y evidencia generada","El sistema cumple correctamente con el escenario evaluado: respuesta vacia.","Pendiente de ejecucion.",
F-036,Proveedores,"Busqueda de suppliers","Caracteres especiales","Ambiente de QA disponible; usuario con acceso al modulo Proveedores; flujo Busqueda de suppliers habilitado; nivel de prueba API interna disponible.","Ingresar al modulo Proveedores -> Abrir el flujo Busqueda de suppliers -> Ejecutar el escenario caracteres especiales -> Validar respuesta del sistema y evidencia generada","El sistema cumple correctamente con el escenario evaluado: caracteres especiales.","Pendiente de ejecucion.",
F-040,Usuarios,"Staff users CRUD","Crear staff","Ambiente de QA disponible; usuario con acceso al modulo Usuarios; flujo Staff users CRUD habilitado; nivel de prueba UI + Feature HTTP disponible.","Ingresar al modulo Usuarios -> Abrir el flujo Staff users CRUD -> Ejecutar el escenario crear staff -> Validar respuesta del sistema y evidencia generada","El sistema cumple correctamente con el escenario evaluado: crear staff.","Pendiente de ejecucion.",
F-040,Usuarios,"Staff users CRUD",Editar,"Ambiente de QA disponible; usuario con acceso al modulo Usuarios; flujo Staff users CRUD habilitado; nivel de prueba UI + Feature HTTP disponible.","Ingresar al modulo Usuarios -> Abrir el flujo Staff users CRUD -> Ejecutar el escenario editar -> Validar respuesta del sistema y evidencia generada","El sistema cumple correctamente con el escenario evaluado: editar.","Pendiente de ejecucion.",
F-040,Usuarios,"Staff users CRUD",Activar/desactivar,"Ambiente de QA disponible; usuario con acceso al modulo Usuarios; flujo Staff users CRUD habilitado; nivel de prueba UI + Feature HTTP disponible.","Ingresar al modulo Usuarios -> Abrir el flujo Staff users CRUD -> Ejecutar el escenario activar/desactivar -> Validar respuesta del sistema y evidencia generada","El sistema cumple correctamente con el escenario evaluado: activar/desactivar.","Pendiente de ejecucion.",
F-040,Usuarios,"Staff users CRUD",Eliminar,"Ambiente de QA disponible; usuario con acceso al modulo Usuarios; flujo Staff users CRUD habilitado; nivel de prueba UI + Feature HTTP disponible.","Ingresar al modulo Usuarios -> Abrir el flujo Staff users CRUD -> Ejecutar el escenario eliminar -> Validar respuesta del sistema y evidencia generada","El sistema cumple correctamente con el escenario evaluado: eliminar.","Pendiente de ejecucion.",
F-040,Usuarios,"Staff users CRUD",Validaciones,"Ambiente de QA disponible; usuario con acceso al modulo Usuarios; flujo Staff users CRUD habilitado; nivel de prueba UI + Feature HTTP disponible.","Ingresar al modulo Usuarios -> Abrir el flujo Staff users CRUD -> Ejecutar el escenario validaciones -> Validar respuesta del sistema y evidencia generada","El sistema cumple correctamente con el escenario evaluado: validaciones.","Pendiente de ejecucion.",
F-040,Usuarios,"Staff users CRUD","Listado datatable","Ambiente de QA disponible; usuario con acceso al modulo Usuarios; flujo Staff users CRUD habilitado; nivel de prueba UI + Feature HTTP disponible; datos semilla cargados.","Ingresar al modulo Usuarios -> Abrir el flujo Staff users CRUD -> Ejecutar el escenario listado datatable -> Validar respuesta del sistema y evidencia generada","La informacion se muestra correctamente en pantalla, sin errores y con datos consistentes.","Pendiente de ejecucion.",
F-041,Usuarios,"Asignacion de roles","Asignar multiples roles","Ambiente de QA disponible; usuario con acceso al modulo Usuarios; flujo Asignacion de roles habilitado; nivel de prueba UI + Feature HTTP disponible.","Ingresar al modulo Usuarios -> Abrir el flujo Asignacion de roles -> Ejecutar el escenario asignar multiples roles -> Validar respuesta del sistema y evidencia generada","El sistema cumple correctamente con el escenario evaluado: asignar multiples roles.","Pendiente de ejecucion.",
F-041,Usuarios,"Asignacion de roles","Reemplazo de roles","Ambiente de QA disponible; usuario con acceso al modulo Usuarios; flujo Asignacion de roles habilitado; nivel de prueba UI + Feature HTTP disponible.","Ingresar al modulo Usuarios -> Abrir el flujo Asignacion de roles -> Ejecutar el escenario reemplazo de roles -> Validar respuesta del sistema y evidencia generada","El sistema cumple correctamente con el escenario evaluado: reemplazo de roles.","Pendiente de ejecucion.",
F-041,Usuarios,"Asignacion de roles",Persistencia,"Ambiente de QA disponible; usuario con acceso al modulo Usuarios; flujo Asignacion de roles habilitado; nivel de prueba UI + Feature HTTP disponible.","Ingresar al modulo Usuarios -> Abrir el flujo Asignacion de roles -> Ejecutar el escenario persistencia -> Validar respuesta del sistema y evidencia generada","El sistema cumple correctamente con el escenario evaluado: persistencia.","Pendiente de ejecucion.",
F-041,Usuarios,"Asignacion de roles","Impacto inmediato en acceso","Ambiente de QA disponible; usuario con acceso al modulo Usuarios; flujo Asignacion de roles habilitado; nivel de prueba UI + Feature HTTP disponible.","Ingresar al modulo Usuarios -> Abrir el flujo Asignacion de roles -> Ejecutar el escenario impacto inmediato en acceso -> Validar respuesta del sistema y evidencia generada","El sistema cumple correctamente con el escenario evaluado: impacto inmediato en acceso.","Pendiente de ejecucion.",
F-042,Usuarios,"Asignacion de empresas","Asociar una o varias empresas","Ambiente de QA disponible; usuario con acceso al modulo Usuarios; flujo Asignacion de empresas habilitado; nivel de prueba UI + Feature HTTP disponible.","Ingresar al modulo Usuarios -> Abrir el flujo Asignacion de empresas -> Ejecutar el escenario asociar una o varias empresas -> Validar respuesta del sistema y evidencia generada","El sistema cumple correctamente con el escenario evaluado: asociar una o varias empresas.","Pendiente de ejecucion.",
F-042,Usuarios,"Asignacion de empresas","Quitar asociaciones","Ambiente de QA disponible; usuario con acceso al modulo Usuarios; flujo Asignacion de empresas habilitado; nivel de prueba UI + Feature HTTP disponible.","Ingresar al modulo Usuarios -> Abrir el flujo Asignacion de empresas -> Ejecutar el escenario quitar asociaciones -> Validar respuesta del sistema y evidencia generada","El sistema cumple correctamente con el escenario evaluado: quitar asociaciones.","Pendiente de ejecucion.",
F-042,Usuarios,"Asignacion de empresas","Usuario sin empresas","Ambiente de QA disponible; usuario con acceso al modulo Usuarios; flujo Asignacion de empresas habilitado; nivel de prueba UI + Feature HTTP disponible.","Ingresar al modulo Usuarios -> Abrir el flujo Asignacion de empresas -> Ejecutar el escenario usuario sin empresas -> Validar respuesta del sistema y evidencia generada","El sistema cumple correctamente con el escenario evaluado: usuario sin empresas.","Pendiente de ejecucion.",
F-042,Usuarios,"Asignacion de empresas","Efecto en visibilidad","Ambiente de QA disponible; usuario con acceso al modulo Usuarios; flujo Asignacion de empresas habilitado; nivel de prueba UI + Feature HTTP disponible.","Ingresar al modulo Usuarios -> Abrir el flujo Asignacion de empresas -> Ejecutar el escenario efecto en visibilidad -> Validar respuesta del sistema y evidencia generada","El sistema cumple correctamente con el escenario evaluado: efecto en visibilidad.","Pendiente de ejecucion.",
F-043,Usuarios,"Asignacion de centros de costo","Asociar multiples centros","Ambiente de QA disponible; usuario con acceso al modulo Usuarios; flujo Asignacion de centros de costo habilitado; nivel de prueba UI + Feature HTTP disponible.","Ingresar al modulo Usuarios -> Abrir el flujo Asignacion de centros de costo -> Ejecutar el escenario asociar multiples centros -> Validar respuesta del sistema y evidencia generada","El sistema cumple correctamente con el escenario evaluado: asociar multiples centros.","Pendiente de ejecucion.",
F-043,Usuarios,"Asignacion de centros de costo",Revocar,"Ambiente de QA disponible; usuario con acceso al modulo Usuarios; flujo Asignacion de centros de costo habilitado; nivel de prueba UI + Feature HTTP disponible.","Ingresar al modulo Usuarios -> Abrir el flujo Asignacion de centros de costo -> Ejecutar el escenario revocar -> Validar respuesta del sistema y evidencia generada","El sistema cumple correctamente con el escenario evaluado: revocar.","Pendiente de ejecucion.",
F-043,Usuarios,"Asignacion de centros de costo","Filtros posteriores por usuario","Ambiente de QA disponible; usuario con acceso al modulo Usuarios; flujo Asignacion de centros de costo habilitado; nivel de prueba UI + Feature HTTP disponible.","Ingresar al modulo Usuarios -> Abrir el flujo Asignacion de centros de costo -> Ejecutar el escenario filtros posteriores por usuario -> Validar respuesta del sistema y evidencia generada","El sistema cumple correctamente con el escenario evaluado: filtros posteriores por usuario.","Pendiente de ejecucion.",
F-044,Usuarios,"Staff welcome notification","Alta de usuario staff envia notificacion o mail correspondiente","Ambiente de QA disponible; usuario con acceso al modulo Usuarios; flujo Staff welcome notification habilitado; nivel de prueba Feature HTTP + Notification disponible.","Ingresar al modulo Usuarios -> Abrir el flujo Staff welcome notification -> Ejecutar el escenario alta de usuario staff envia notificacion o mail correspondiente -> Validar respuesta del sistema y evidencia generada","El sistema genera y entrega la notificacion esperada sin errores.","Pendiente de ejecucion.",
F-044,Usuarios,"Staff welcome notification","Payload correcto","Ambiente de QA disponible; usuario con acceso al modulo Usuarios; flujo Staff welcome notification habilitado; nivel de prueba Feature HTTP + Notification disponible.","Ingresar al modulo Usuarios -> Abrir el flujo Staff welcome notification -> Ejecutar el escenario payload correcto -> Validar respuesta del sistema y evidencia generada","El sistema cumple correctamente con el escenario evaluado: payload correcto.","Pendiente de ejecucion.",
F-045,Comunicados,"CRUD admin de announcements",Crear,"Ambiente de QA disponible; usuario con acceso al modulo Comunicados; flujo CRUD admin de announcements habilitado; nivel de prueba UI + Feature HTTP disponible.","Ingresar al modulo Comunicados -> Abrir el flujo CRUD admin de announcements -> Ejecutar el escenario crear -> Validar respuesta del sistema y evidencia generada","El sistema cumple correctamente con el escenario evaluado: crear.","Pendiente de ejecucion.",
F-045,Comunicados,"CRUD admin de announcements",Editar,"Ambiente de QA disponible; usuario con acceso al modulo Comunicados; flujo CRUD admin de announcements habilitado; nivel de prueba UI + Feature HTTP disponible.","Ingresar al modulo Comunicados -> Abrir el flujo CRUD admin de announcements -> Ejecutar el escenario editar -> Validar respuesta del sistema y evidencia generada","El sistema cumple correctamente con el escenario evaluado: editar.","Pendiente de ejecucion.",
F-045,Comunicados,"CRUD admin de announcements",Eliminar,"Ambiente de QA disponible; usuario con acceso al modulo Comunicados; flujo CRUD admin de announcements habilitado; nivel de prueba UI + Feature HTTP disponible.","Ingresar al modulo Comunicados -> Abrir el flujo CRUD admin de announcements -> Ejecutar el escenario eliminar -> Validar respuesta del sistema y evidencia generada","El sistema cumple correctamente con el escenario evaluado: eliminar.","Pendiente de ejecucion.",
F-045,Comunicados,"CRUD admin de announcements",Listado,"Ambiente de QA disponible; usuario con acceso al modulo Comunicados; flujo CRUD admin de announcements habilitado; nivel de prueba UI + Feature HTTP disponible; datos semilla cargados.","Ingresar al modulo Comunicados -> Abrir el flujo CRUD admin de announcements -> Ejecutar el escenario listado -> Validar respuesta del sistema y evidencia generada","La informacion se muestra correctamente en pantalla, sin errores y con datos consistentes.","Pendiente de ejecucion.",
F-045,Comunicados,"CRUD admin de announcements",Datatable,"Ambiente de QA disponible; usuario con acceso al modulo Comunicados; flujo CRUD admin de announcements habilitado; nivel de prueba UI + Feature HTTP disponible; datos semilla cargados.","Ingresar al modulo Comunicados -> Abrir el flujo CRUD admin de announcements -> Ejecutar el escenario datatable -> Validar respuesta del sistema y evidencia generada","La informacion se muestra correctamente en pantalla, sin errores y con datos consistentes.","Pendiente de ejecucion.",
F-045,Comunicados,"CRUD admin de announcements","Contenido vacio","Ambiente de QA disponible; usuario con acceso al modulo Comunicados; flujo CRUD admin de announcements habilitado; nivel de prueba UI + Feature HTTP disponible.","Ingresar al modulo Comunicados -> Abrir el flujo CRUD admin de announcements -> Ejecutar el escenario contenido vacio -> Validar respuesta del sistema y evidencia generada","El sistema cumple correctamente con el escenario evaluado: contenido vacio.","Pendiente de ejecucion.",
F-045,Comunicados,"CRUD admin de announcements",Fechas,"Ambiente de QA disponible; usuario con acceso al modulo Comunicados; flujo CRUD admin de announcements habilitado; nivel de prueba UI + Feature HTTP disponible.","Ingresar al modulo Comunicados -> Abrir el flujo CRUD admin de announcements -> Ejecutar el escenario fechas -> Validar respuesta del sistema y evidencia generada","El sistema cumple correctamente con el escenario evaluado: fechas.","Pendiente de ejecucion.",
F-045,Comunicados,"CRUD admin de announcements",Destinatarios,"Ambiente de QA disponible; usuario con acceso al modulo Comunicados; flujo CRUD admin de announcements habilitado; nivel de prueba UI + Feature HTTP disponible.","Ingresar al modulo Comunicados -> Abrir el flujo CRUD admin de announcements -> Ejecutar el escenario destinatarios -> Validar respuesta del sistema y evidencia generada","El sistema cumple correctamente con el escenario evaluado: destinatarios.","Pendiente de ejecucion.",
F-046,Comunicados,"Inbox del proveedor",Listado,"Ambiente de QA disponible; usuario con acceso al modulo Comunicados; flujo Inbox del proveedor habilitado; nivel de prueba UI + Feature HTTP disponible; datos semilla cargados.","Ingresar al modulo Comunicados -> Abrir el flujo Inbox del proveedor -> Ejecutar el escenario listado -> Validar respuesta del sistema y evidencia generada","La informacion se muestra correctamente en pantalla, sin errores y con datos consistentes.","Pendiente de ejecucion.",
F-046,Comunicados,"Inbox del proveedor","Apertura de anuncio","Ambiente de QA disponible; usuario con acceso al modulo Comunicados; flujo Inbox del proveedor habilitado; nivel de prueba UI + Feature HTTP disponible.","Ingresar al modulo Comunicados -> Abrir el flujo Inbox del proveedor -> Ejecutar el escenario apertura de anuncio -> Validar respuesta del sistema y evidencia generada","El sistema cumple correctamente con el escenario evaluado: apertura de anuncio.","Pendiente de ejecucion.",
F-046,Comunicados,"Inbox del proveedor",PDF,"Ambiente de QA disponible; usuario con acceso al modulo Comunicados; flujo Inbox del proveedor habilitado; nivel de prueba UI + Feature HTTP disponible; archivo(s) de prueba disponible(s).","Ingresar al modulo Comunicados -> Abrir el flujo Inbox del proveedor -> Ejecutar el escenario PDF -> Validar respuesta del sistema y evidencia generada","El sistema cumple correctamente con el escenario evaluado: PDF.","Pendiente de ejecucion.",
F-046,Comunicados,"Inbox del proveedor","Marcar visto","Ambiente de QA disponible; usuario con acceso al modulo Comunicados; flujo Inbox del proveedor habilitado; nivel de prueba UI + Feature HTTP disponible.","Ingresar al modulo Comunicados -> Abrir el flujo Inbox del proveedor -> Ejecutar el escenario marcar visto -> Validar respuesta del sistema y evidencia generada","El sistema cumple correctamente con el escenario evaluado: marcar visto.","Pendiente de ejecucion.",
F-046,Comunicados,"Inbox del proveedor",Dismiss,"Ambiente de QA disponible; usuario con acceso al modulo Comunicados; flujo Inbox del proveedor habilitado; nivel de prueba UI + Feature HTTP disponible.","Ingresar al modulo Comunicados -> Abrir el flujo Inbox del proveedor -> Ejecutar el escenario dismiss -> Validar respuesta del sistema y evidencia generada","El sistema cumple correctamente con el escenario evaluado: dismiss.","Pendiente de ejecucion.",
F-046,Comunicados,"Inbox del proveedor","No acceso a anuncios ajenos","Ambiente de QA disponible; usuario con acceso al modulo Comunicados; flujo Inbox del proveedor habilitado; nivel de prueba UI + Feature HTTP disponible.","Ingresar al modulo Comunicados -> Abrir el flujo Inbox del proveedor -> Ejecutar el escenario no acceso a anuncios ajenos -> Validar respuesta del sistema y evidencia generada","El sistema impide el acceso o la accion no autorizada y mantiene protegido el recurso.","Pendiente de ejecucion.",
F-047,Incidentes,"CRUD basico de incidentes",Alta,"Ambiente de QA disponible; usuario con acceso al modulo Incidentes; flujo CRUD basico de incidentes habilitado; nivel de prueba UI + Feature HTTP disponible.","Ingresar al modulo Incidentes -> Abrir el flujo CRUD basico de incidentes -> Ejecutar el escenario alta -> Validar respuesta del sistema y evidencia generada","El registro se crea correctamente, respetando validaciones y reglas de negocio.","Pendiente de ejecucion.",
F-047,Incidentes,"CRUD basico de incidentes",Validaciones,"Ambiente de QA disponible; usuario con acceso al modulo Incidentes; flujo CRUD basico de incidentes habilitado; nivel de prueba UI + Feature HTTP disponible.","Ingresar al modulo Incidentes -> Abrir el flujo CRUD basico de incidentes -> Ejecutar el escenario validaciones -> Validar respuesta del sistema y evidencia generada","El sistema cumple correctamente con el escenario evaluado: validaciones.","Pendiente de ejecucion.",
F-047,Incidentes,"CRUD basico de incidentes",Listado,"Ambiente de QA disponible; usuario con acceso al modulo Incidentes; flujo CRUD basico de incidentes habilitado; nivel de prueba UI + Feature HTTP disponible; datos semilla cargados.","Ingresar al modulo Incidentes -> Abrir el flujo CRUD basico de incidentes -> Ejecutar el escenario listado -> Validar respuesta del sistema y evidencia generada","La informacion se muestra correctamente en pantalla, sin errores y con datos consistentes.","Pendiente de ejecucion.",
F-047,Incidentes,"CRUD basico de incidentes",Eliminacion,"Ambiente de QA disponible; usuario con acceso al modulo Incidentes; flujo CRUD basico de incidentes habilitado; nivel de prueba UI + Feature HTTP disponible.","Ingresar al modulo Incidentes -> Abrir el flujo CRUD basico de incidentes -> Ejecutar el escenario eliminacion -> Validar respuesta del sistema y evidencia generada","El sistema cumple correctamente con el escenario evaluado: eliminacion.","Pendiente de ejecucion.",
F-047,Incidentes,"CRUD basico de incidentes","Adjuntos si aplica","Ambiente de QA disponible; usuario con acceso al modulo Incidentes; flujo CRUD basico de incidentes habilitado; nivel de prueba UI + Feature HTTP disponible.","Ingresar al modulo Incidentes -> Abrir el flujo CRUD basico de incidentes -> Ejecutar el escenario adjuntos si aplica -> Validar respuesta del sistema y evidencia generada","El sistema cumple correctamente con el escenario evaluado: adjuntos si aplica.","Pendiente de ejecucion.",
F-047,Incidentes,"CRUD basico de incidentes",Permisos,"Ambiente de QA disponible; usuario con acceso al modulo Incidentes; flujo CRUD basico de incidentes habilitado; nivel de prueba UI + Feature HTTP disponible.","Ingresar al modulo Incidentes -> Abrir el flujo CRUD basico de incidentes -> Ejecutar el escenario permisos -> Validar respuesta del sistema y evidencia generada","El sistema cumple correctamente con el escenario evaluado: permisos.","Pendiente de ejecucion.",
F-050,Catalogos,"Companies CRUD",Index/create/update/delete,"Ambiente de QA disponible; usuario con acceso al modulo Catalogos; flujo Companies CRUD habilitado; nivel de prueba UI + Feature HTTP disponible.","Ingresar al modulo Catalogos -> Abrir el flujo Companies CRUD -> Ejecutar el escenario index/create/update/delete -> Validar respuesta del sistema y evidencia generada","El registro se crea correctamente, respetando validaciones y reglas de negocio.","Pendiente de ejecucion.",
F-050,Catalogos,"Companies CRUD",Datatable,"Ambiente de QA disponible; usuario con acceso al modulo Catalogos; flujo Companies CRUD habilitado; nivel de prueba UI + Feature HTTP disponible; datos semilla cargados.","Ingresar al modulo Catalogos -> Abrir el flujo Companies CRUD -> Ejecutar el escenario datatable -> Validar respuesta del sistema y evidencia generada","La informacion se muestra correctamente en pantalla, sin errores y con datos consistentes.","Pendiente de ejecucion.",
F-050,Catalogos,"Companies CRUD","Validaciones de unicidad y estado","Ambiente de QA disponible; usuario con acceso al modulo Catalogos; flujo Companies CRUD habilitado; nivel de prueba UI + Feature HTTP disponible.","Ingresar al modulo Catalogos -> Abrir el flujo Companies CRUD -> Ejecutar el escenario validaciones de unicidad y estado -> Validar respuesta del sistema y evidencia generada","El sistema cumple correctamente con el escenario evaluado: validaciones de unicidad y estado.","Pendiente de ejecucion.",
F-051,Catalogos,"Stations CRUD",Alta/edicion/borrado,"Ambiente de QA disponible; usuario con acceso al modulo Catalogos; flujo Stations CRUD habilitado; nivel de prueba UI + Feature HTTP disponible.","Ingresar al modulo Catalogos -> Abrir el flujo Stations CRUD -> Ejecutar el escenario alta/edicion/borrado -> Validar respuesta del sistema y evidencia generada","El registro se crea correctamente, respetando validaciones y reglas de negocio.","Pendiente de ejecucion.",
F-051,Catalogos,"Stations CRUD",Datatable,"Ambiente de QA disponible; usuario con acceso al modulo Catalogos; flujo Stations CRUD habilitado; nivel de prueba UI + Feature HTTP disponible; datos semilla cargados.","Ingresar al modulo Catalogos -> Abrir el flujo Stations CRUD -> Ejecutar el escenario datatable -> Validar respuesta del sistema y evidencia generada","La informacion se muestra correctamente en pantalla, sin errores y con datos consistentes.","Pendiente de ejecucion.",
F-051,Catalogos,"Stations CRUD",Activacion/desactivacion,"Ambiente de QA disponible; usuario con acceso al modulo Catalogos; flujo Stations CRUD habilitado; nivel de prueba UI + Feature HTTP disponible.","Ingresar al modulo Catalogos -> Abrir el flujo Stations CRUD -> Ejecutar el escenario activacion/desactivacion -> Validar respuesta del sistema y evidencia generada","El sistema cumple correctamente con el escenario evaluado: activacion/desactivacion.","Pendiente de ejecucion.",
F-051,Catalogos,"Stations CRUD","Relacion con company","Ambiente de QA disponible; usuario con acceso al modulo Catalogos; flujo Stations CRUD habilitado; nivel de prueba UI + Feature HTTP disponible.","Ingresar al modulo Catalogos -> Abrir el flujo Stations CRUD -> Ejecutar el escenario relacion con company -> Validar respuesta del sistema y evidencia generada","El sistema cumple correctamente con el escenario evaluado: relacion con company.","Pendiente de ejecucion.",
F-052,Catalogos,"Stations - link company","Asociar estacion a company","Ambiente de QA disponible; usuario con acceso al modulo Catalogos; flujo Stations - link company habilitado; nivel de prueba Feature HTTP disponible.","Ingresar al modulo Catalogos -> Abrir el flujo Stations - link company -> Ejecutar el escenario asociar estacion a company -> Validar respuesta del sistema y evidencia generada","El sistema cumple correctamente con el escenario evaluado: asociar estacion a company.","Pendiente de ejecucion.",
F-052,Catalogos,"Stations - link company",Re-asociar,"Ambiente de QA disponible; usuario con acceso al modulo Catalogos; flujo Stations - link company habilitado; nivel de prueba Feature HTTP disponible.","Ingresar al modulo Catalogos -> Abrir el flujo Stations - link company -> Ejecutar el escenario re-asociar -> Validar respuesta del sistema y evidencia generada","El sistema cumple correctamente con el escenario evaluado: re-asociar.","Pendiente de ejecucion.",
F-052,Catalogos,"Stations - link company","Validar company inexistente","Ambiente de QA disponible; usuario con acceso al modulo Catalogos; flujo Stations - link company habilitado; nivel de prueba Feature HTTP disponible.","Ingresar al modulo Catalogos -> Abrir el flujo Stations - link company -> Ejecutar el escenario validar company inexistente -> Validar respuesta del sistema y evidencia generada","El sistema cumple correctamente con el escenario evaluado: validar company inexistente.","Pendiente de ejecucion.",
F-052,Catalogos,"Stations - link company","Reglas de integridad","Ambiente de QA disponible; usuario con acceso al modulo Catalogos; flujo Stations - link company habilitado; nivel de prueba Feature HTTP disponible.","Ingresar al modulo Catalogos -> Abrir el flujo Stations - link company -> Ejecutar el escenario reglas de integridad -> Validar respuesta del sistema y evidencia generada","El sistema cumple correctamente con el escenario evaluado: reglas de integridad.","Pendiente de ejecucion.",
F-053,Catalogos,"Taxes CRUD","Altas con porcentaje","Ambiente de QA disponible; usuario con acceso al modulo Catalogos; flujo Taxes CRUD habilitado; nivel de prueba UI + Feature HTTP disponible.","Ingresar al modulo Catalogos -> Abrir el flujo Taxes CRUD -> Ejecutar el escenario altas con porcentaje -> Validar respuesta del sistema y evidencia generada","El registro se crea correctamente, respetando validaciones y reglas de negocio.","Pendiente de ejecucion.",
